Student_ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
STU1000,301,101,4,2.4,1.6,8.1,1,0.817
STU1001,313,95,3,2.4,1.1,8.82,0,0.749
STU1002,316,90,4,4.6,1.7,8.36,1,0.803
STU1003,321,111,5,1.3,1.4,8.94,0,0.757
STU1004,313,99,5,1.5,3.3,8.32,0,0.796
STU1005,311,101,5,3.7,4.9,8.09,1,0.845
STU1006,311,99,2,4.5,3.6,9.11,0,0.809
STU1007,309,109,1,3.0,4.4,9.36,0,0.799
STU1008,313,105,3,1.5,2.2,8.56,0,0.712
STU1009,323,100,4,2.9,2.5,9.04,0,0.782
STU1010,309,105,2,3.9,4.7,6.96,0,0.757
STU1011,311,105,3,2.8,4.9,7.73,0,0.781
STU1012,308,91,5,2.1,4.7,9.52,0,0.858
STU1013,321,110,3,3.0,1.8,7.39,0,0.749
STU1014,307,108,3,4.1,3.1,9.24,0,0.819
STU1015,318,113,3,2.8,4.1,8.93,0,0.726
STU1016,325,90,1,4.8,1.4,7.85,0,0.721
STU1017,290,110,1,2.6,2.5,8.98,0,0.718
STU1018,327,120,1,2.1,4.0,7.47,0,0.73
STU1019,311,107,1,4.6,2.9,8.74,1,0.785
STU1020,307,98,3,3.2,4.7,8.67,1,0.803
STU1021,304,103,1,2.3,4.9,8.71,1,0.81
STU1022,315,114,4,4.8,1.9,6.37,0,0.736
STU1023,309,110,1,1.1,2.5,10.0,0,0.683
STU1024,319,99,5,2.4,1.2,8.6,0,0.786
STU1025,307,110,2,5.0,4.4,8.15,1,0.912
STU1026,322,105,2,1.1,2.1,7.94,0,0.729
STU1027,326,100,3,4.6,3.7,8.88,1,0.911
STU1028,327,120,3,2.7,4.3,7.35,0,0.825
STU1029,328,110,3,5.0,1.5,8.92,1,0.889
STU1030,297,106,3,3.5,4.7,7.68,0,0.723
STU1031,325,111,2,4.4,1.4,8.67,0,0.791
STU1032,318,101,2,1.2,2.5,8.63,0,0.671
STU1033,310,115,3,2.5,2.5,8.89,1,0.815
STU1034,318,104,2,1.8,2.8,9.7,0,0.787
STU1035,309,106,4,1.1,4.4,8.39,1,0.825
STU1036,324,102,2,1.8,3.0,8.98,0,0.761
STU1037,330,102,1,2.4,1.2,6.98,1,0.727
STU1038,318,115,1,2.4,4.7,8.49,0,0.755
STU1039,317,111,2,3.1,3.4,7.98,0,0.79
STU1040,307,101,3,2.0,2.5,9.02,0,0.724
STU1041,324,105,5,3.7,4.8,8.69,1,0.886
STU1042,303,102,2,3.6,4.3,8.82,0,0.795
STU1043,333,97,5,1.8,2.7,7.78,0,0.784
STU1044,294,113,3,4.3,3.0,8.47,1,0.863
STU1045,311,110,4,4.7,4.7,8.7,0,0.869
STU1046,323,117,4,4.2,1.7,8.66,1,0.853
STU1047,319,100,2,4.0,4.6,9.37,0,0.878
STU1048,309,90,4,3.9,3.6,8.02,1,0.774
STU1049,318,110,3,3.5,1.5,8.67,0,0.783
STU1050,313,106,5,3.9,2.5,8.28,0,0.797
STU1051,335,107,3,3.3,3.5,8.81,0,0.804
STU1052,311,101,2,2.1,3.7,8.8,0,0.746
STU1053,305,113,2,1.3,1.1,8.37,1,0.719
STU1054,302,110,1,4.8,1.1,7.89,1,0.731
STU1055,317,109,2,1.8,1.7,8.07,1,0.764
STU1056,311,104,1,2.3,1.2,7.86,0,0.691
STU1057,308,103,4,4.5,1.5,9.93,1,0.921
STU1058,312,98,3,3.2,2.0,9.38,1,0.826
STU1059,325,113,2,1.8,3.4,8.94,0,0.81
STU1060,317,104,3,4.1,3.3,8.53,1,0.854
STU1061,306,113,4,1.4,3.2,7.85,0,0.772
STU1062,301,115,2,2.5,1.9,8.53,1,0.81
STU1063,315,106,4,2.2,1.5,7.78,0,0.776
STU1064,330,99,3,4.3,1.3,8.15,1,0.764
STU1065,337,111,4,4.2,2.9,8.73,1,0.841
STU1066,306,101,1,4.2,3.3,8.29,1,0.822
STU1067,325,103,1,2.3,2.4,8.5,1,0.763
STU1068,301,106,1,3.7,4.6,7.53,0,0.732
STU1069,332,108,1,1.8,1.2,8.22,0,0.592
STU1070,318,107,5,3.1,1.2,7.9,1,0.864
STU1071,312,107,1,4.2,2.5,10.0,0,0.742
STU1072,312,103,4,1.3,2.1,7.56,0,0.73
STU1073,301,100,3,4.4,2.3,8.28,1,0.775
STU1074,323,93,4,2.3,4.9,8.1,0,0.797
STU1075,330,104,5,2.3,3.4,7.36,0,0.748
STU1076,306,100,1,2.9,4.9,9.18,1,0.759
STU1077,314,104,5,1.4,3.8,9.23,1,0.832
STU1078,313,101,4,3.6,4.3,8.81,0,0.816
STU1079,317,101,5,1.5,4.5,7.84,0,0.807
STU1080,313,94,4,3.4,3.2,8.63,1,0.88
STU1081,307,100,2,2.6,4.5,8.93,1,0.764
STU1082,321,104,3,2.2,3.2,7.5,1,0.834
STU1083,326,104,3,1.7,3.6,7.56,1,0.779
STU1084,316,108,1,2.7,4.2,8.58,1,0.788
STU1085,319,112,3,1.4,3.1,10.0,0,0.805
STU1086,315,108,2,1.7,3.3,6.69,1,0.745
STU1087,328,99,2,4.9,4.0,8.8,1,0.865
STU1088,338,107,1,4.0,4.3,8.08,1,0.855
STU1089,325,103,4,2.0,4.2,9.35,0,0.812
STU1090,314,99,3,3.4,3.9,9.02,0,0.798
STU1091,298,105,4,2.0,3.3,8.49,1,0.836
STU1092,318,106,4,4.1,1.3,8.78,1,0.874
STU1093,323,113,5,4.3,4.3,8.58,1,0.897
